,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}","{kubernetes_node=""node4""}","{kubernetes_node=""node5""}"
2022-11-09 17:38:09,8849485824.0,4624179200.0,1096069120.0,1058000896.0,1076183040.0,1005731840.0
2022-11-09 17:38:10,8899731456.0,4631801856.0,1092837376.0,1055961088.0,1076817920.0,1007329280.0
2022-11-09 17:38:11,8944996352.0,4621889536.0,1107681280.0,1064681472.0,1133080576.0,1006256128.0
2022-11-09 17:38:12,8901779456.0,4622606336.0,1108189184.0,1069580288.0,1092157440.0,1007804416.0
2022-11-09 17:38:13,8897347584.0,4648869888.0,1104408576.0,1071390720.0,1086291968.0,1007132672.0
2022-11-09 17:38:14,8871833600.0,4622385152.0,1103556608.0,1070604288.0,1084960768.0,1006931968.0
2022-11-09 17:38:15,8871665664.0,4620546048.0,1104838656.0,1053405184.0,1073717248.0,1006190592.0
2022-11-09 17:38:16,8835817472.0,4625567744.0,1087508480.0,1051172864.0,1072070656.0,1005600768.0
2022-11-09 17:38:17,8844763136.0,4614520832.0,1088614400.0,1052246016.0,1066700800.0,1006342144.0
2022-11-09 17:38:18,8861839360.0,4616368128.0,1087991808.0,1076846592.0,1065508864.0,1004433408.0
2022-11-09 17:38:19,8835579904.0,4614197248.0,1086205952.0,1047797760.0,1065807872.0,1017716736.0
2022-11-09 17:38:20,8828358656.0,4619755520.0,1085530112.0,1047113728.0,1067606016.0,1001586688.0
2022-11-09 17:38:21,8802992128.0,4618608640.0,1086787584.0,1047535616.0,1071292416.0,1001082880.0
2022-11-09 17:38:22,8764502016.0,4623597568.0,1072066560.0,1030721536.0,1052372992.0,989155328.0
2022-11-09 17:38:23,8764256256.0,4623564800.0,1066864640.0,1028624384.0,1054212096.0,987963392.0
2022-11-09 17:38:24,8760102912.0,4621762560.0,1067106304.0,1029832704.0,1054195712.0,987672576.0
2022-11-09 17:38:25,8768032768.0,4623720448.0,1069072384.0,1030090752.0,1056276480.0,988315648.0
2022-11-09 17:38:26,8759549952.0,4630388736.0,1067401216.0,1031188480.0,1053745152.0,985284608.0
2022-11-09 17:38:27,8757313536.0,4624224256.0,1069056000.0,1032474624.0,1050132480.0,983285760.0
2022-11-09 17:38:28,8761634816.0,4627681280.0,1069559808.0,1032216576.0,1052246016.0,983707648.0
2022-11-09 17:38:29,8753713152.0,4653617152.0,1066704896.0,1030975488.0,1049030656.0,986259456.0
2022-11-09 17:38:30,8768327680.0,4625559552.0,1067474944.0,1030893568.0,1052536832.0,984895488.0
2022-11-09 17:38:31,8782282752.0,4629094400.0,1068691456.0,1028874240.0,1074577408.0,984891392.0
2022-11-09 17:38:32,8767717376.0,4625293312.0,1070288896.0,1030287360.0,1053941760.0,986505216.0
2022-11-09 17:38:33,8761200640.0,4629712896.0,1068539904.0,1031843840.0,1051877376.0,986759168.0
2022-11-09 17:38:34,8767135744.0,4630704128.0,1068707840.0,1032187904.0,1050169344.0,986984448.0
2022-11-09 17:38:35,8769540096.0,4628828160.0,1068728320.0,1032445952.0,1050456064.0,985145344.0
2022-11-09 17:38:36,8760336384.0,4627419136.0,1068093440.0,1032040448.0,1049100288.0,984530944.0
2022-11-09 17:38:37,8752279552.0,4622667776.0,1068924928.0,1028685824.0,1049006080.0,986595328.0
